"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 WZ1)","2023-Nov-20 20:24 ± < 00:01","0.00105","0.00105","16.52","16.37","28.9","4.3 m -  9.7 m","0"
"(2023 XG4)","2023-Nov-30 03:31 ±    00:06","0.00117","0.00117","8.82","8.55","27.9","7.1 m -   16 m","1"
"(2023 XJ)","2023-Dec-02 19:20 ± < 00:01","0.00071","0.00071","15.73","15.49","28.7","4.9 m -   11 m","1"
"(2023 XL2)","2023-Dec-03 23:54 ± < 00:01","0.00074","0.00074","7.82","7.35","30.2","2.5 m -  5.5 m","0"
"(2023 XJ1)","2023-Dec-06 18:57 ± < 00:01","0.00066","0.00066","20.04","19.84","27.6","7.9 m -   18 m","1"
"(2023 XQ10)","2023-Dec-08 16:46 ±    00:18","0.00149","0.00148","10.60","10.43","26.4","14 m -   31 m","1"
"(2023 XU5)","2023-Dec-08 17:36 ± < 00:01","0.00248","0.00248","8.61","8.48","27.2","9.7 m -   22 m","0"
"(2023 XW5)","2023-Dec-09 02:10 ± < 00:01","0.00050","0.00050","5.92","4.93","28.7","4.9 m -   11 m","1"
"(2023 XB4)","2023-Dec-09 06:13 ± < 00:01","0.00198","0.00198","10.07","9.94","28.2","6.1 m -   14 m","0"
"(2023 XQ16)","2023-Dec-13 14:35 ± < 00:01","0.00084","0.00084","3.16","1.92","30.6","2.0 m -  4.6 m","0"
"(2023 YP)","2023-Dec-23 02:19 ±    00:03","0.00238","0.00238","7.74","7.59","28.0","6.7 m -   15 m","0"
"(2020 YO3)","2023-Dec-23 02:44 ± < 00:01","0.00144","0.00144","16.45","16.34","24.7","30 m -   67 m","2"
"(2024 AL)","2023-Dec-31 08:07 ±    00:04","0.00239","0.00239","12.56","12.48","27.7","7.7 m -   17 m","0"
"(2024 AD)","2024-Jan-04 18:15 ± < 00:01","0.00162","0.00162","9.90","9.73","28.8","4.7 m -   11 m","0"
"(2024 AM4)","2024-Jan-11 09:50 ± < 00:01","0.00080","0.00080","3.20","1.88","28.7","4.8 m -   11 m","0"
"(2024 AG4)","2024-Jan-11 21:32 ±    00:11","0.00228","0.00227","11.97","11.87","28.4","5.5 m -   12 m","0"
"(2024 AZ3)","2024-Jan-14 20:23 ±    00:08","0.00166","0.00166","10.02","9.86","28.8","4.7 m -   10 m","0"
"(2024 BA16)","2024-Jan-15 08:11 ±    00:05","0.00094","0.00093","8.94","8.62","28.9","4.3 m -  9.7 m","0"
"(2024 BQ1)","2024-Jan-20 10:25 ± < 00:01","0.00231","0.00231","6.60","6.42","30.1","2.6 m -  5.8 m","0"
"(2024 BR2)","2024-Jan-22 11:58 ± < 00:01","0.00196","0.00196","4.04","3.69","27.1","10 m -   23 m","1"
"(2024 BJ)","2024-Jan-27 17:29 ± < 00:01","0.00236","0.00236","6.35","6.17","26.3","15 m -   33 m","1"
"(2024 CK1)","2024-Feb-08 09:29 ± < 00:01","0.00152","0.00152","12.06","11.91","29.4","3.6 m -  8.0 m","0"
"(2024 CJ1)","2024-Feb-09 20:10 ± < 00:01","0.00246","0.00245","7.63","7.48","28.4","5.5 m -   12 m","0"
"(2024 CH4)","2024-Feb-11 06:10 ±    00:03","0.00073","0.00073","24.01","23.86","27.7","7.7 m -   17 m","1"
"(2024 CY1)","2024-Feb-12 07:32 ± < 00:01","0.00081","0.00081","14.53","14.30","29.2","3.8 m -  8.5 m","0"
"(2024 CM5)","2024-Feb-12 15:42 ± < 00:01","0.00094","0.00094","10.76","10.50","28.3","5.7 m -   13 m","0"
"(2024 CT6)","2024-Feb-16 21:24 ± < 00:01","0.00240","0.00240","20.94","20.89","29.2","3.9 m -  8.6 m","0"
"(2024 CF7)","2024-Feb-17 05:12 ±    00:01","0.00071","0.00071","10.61","10.25","29.5","3.4 m -  7.6 m","0"
"(2024 DY)","2024-Feb-18 15:28 ± < 00:01","0.00115","0.00115","11.82","11.62","29.0","4.2 m -  9.3 m","0"
"(2024 DW)","2024-Feb-22 04:37 ± < 00:01","0.00150","0.00150","17.90","17.80","27.1","9.9 m -   22 m","1"
"(2024 EF)","2024-Mar-04 07:00 ± < 00:01","0.00039","0.00038","8.64","7.80","29.1","3.9 m -  8.8 m","1"
"(2024 FC1)","2024-Mar-10 14:58 ± < 00:01","0.00223","0.00223","5.72","5.51","27.7","7.8 m -   17 m","0"
"(2024 EL3)","2024-Mar-11 10:31 ±    00:05","0.00024","0.00024","13.71","12.88","28.8","4.7 m -   10 m","1"
"(2024 EJ4)","2024-Mar-13 17:22 ± < 00:01","0.00018","0.00018","8.68","6.71","29.4","3.5 m -  7.9 m","1"
"(2024 ER4)","2024-Mar-17 09:14 ± < 00:01","0.00108","0.00108","8.30","8.00","27.4","9.0 m -   20 m","1"
"(2024 GD)","2024-Mar-26 02:00 ±    00:05","0.00212","0.00212","11.46","11.35","24.9","27 m -   61 m","2"
"(2024 FO3)","2024-Mar-26 12:36 ± < 00:01","0.00091","0.00091","10.44","10.15","27.8","7.4 m -   17 m","1"
"(2024 FQ5)","2024-Mar-31 15:32 ± < 00:01","0.00022","0.00022","8.58","7.01","31.0","1.7 m -  3.8 m","0"
"(2024 GW4)","2024-Apr-09 04:07 ±    00:03","0.00109","0.00109","12.12","11.91","28.9","4.4 m -  9.7 m","0"
"(2024 GV2)","2024-Apr-09 04:17 ± < 00:01","0.00072","0.00072","4.72","3.85","29.2","3.9 m -  8.7 m","0"
"(2024 GY4)","2024-Apr-09 12:08 ±    00:03","0.00084","0.00084","9.33","8.99","29.6","3.3 m -  7.3 m","0"
"(2024 GX3)","2024-Apr-10 08:27 ± < 00:01","0.00048","0.00048","10.17","9.60","29.7","3.0 m -  6.8 m","0"
"(2024 GJ2)","2024-Apr-11 18:30 ± < 00:01","0.00012","0.00012","14.38","12.81","30.4","2.2 m -  5.0 m","1"
"(2024 HX)","2024-Apr-14 16:30 ± < 00:01","0.00142","0.00142","9.64","9.45","27.4","8.9 m -   20 m","1"
"(2024 GZ5)","2024-Apr-15 16:47 ± < 00:01","0.00046","0.00046","5.04","3.71","30.3","2.3 m -  5.2 m","0"
"(2024 HA)","2024-Apr-16 17:42 ± < 00:01","0.00010","0.00010","19.46","18.10","31.8","1.2 m -  2.6 m","0"
"(2024 HO)","2024-Apr-17 13:10 ± < 00:01","0.00116","0.00116","10.17","9.94","28.8","4.6 m -   10 m","0"
"(2024 HQ)","2024-Apr-19 08:54 ± < 00:01","0.00213","0.00213","7.51","7.34","29.4","3.5 m -  7.8 m","0"
"(2024 HL1)","2024-Apr-26 01:40 ± < 00:01","0.00109","0.00109","12.10","11.90","26.0","17 m -   38 m","2"
"(2024 HT1)","2024-Apr-26 12:09 ± < 00:01","0.00240","0.00240","16.38","16.31","24.5","33 m -   74 m","2"
"(2024 HO2)","2024-Apr-29 15:18 ± < 00:01","0.00025","0.00025","9.24","8.00","29.5","3.4 m -  7.6 m","1"
"(2024 JR1)","2024-May-07 00:02 ± < 00:01","0.00198","0.00197","13.04","12.94","27.7","7.5 m -   17 m","0"
"(2024 JD)","2024-May-08 13:31 ± < 00:01","0.00184","0.00184","3.30","2.83","27.6","8.0 m -   18 m","0"
"(2024 JL3)","2024-May-08 15:36 ± < 00:01","0.00252","0.00251","18.49","18.43","26.4","14 m -   31 m","1"
"(2024 JT3)","2024-May-09 09:36 ± < 00:01","0.00017","0.00017","10.88","9.35","29.1","4.0 m -  8.9 m","1"
"(2024 JN3)","2024-May-09 12:50 ± < 00:01","0.00201","0.00201","13.02","12.92","27.0","11 m -   24 m","1"
"(2024 JN16)","2024-May-14 09:49 ± < 00:01","0.00017","0.00017","9.26","7.34","29.6","3.2 m -  7.2 m","1"
"(2024 JY16)","2024-May-15 01:10 ± < 00:01","0.00225","0.00225","16.81","16.74","25.1","26 m -   58 m","2"
"(2024 KX)","2024-May-31 03:42 ± < 00:01","0.00194","0.00194","8.25","8.08","27.7","7.8 m -   17 m","0"
"(2024 KB1)","2024-Jun-01 00:43 ± < 00:01","0.00243","0.00243","11.06","10.96","28.3","6.0 m -   13 m","0"
"(2024 KA2)","2024-Jun-04 13:46 ± < 00:01","0.00233","0.00233","13.14","13.05","28.0","6.8 m -   15 m","0"
"(2024 LH1)","2024-Jun-06 14:02 ± < 00:01","0.00005","0.00005","17.40","14.30","30.8","1.8 m -  4.1 m","1"
"(2024 LZ4)","2024-Jun-16 03:55 ± < 00:01","0.00186","0.00186","21.42","21.35","26.1","16 m -   35 m","1"
"(2024 MW)","2024-Jun-28 07:11 ± < 00:01","0.00062","0.00062","13.59","13.27","29.3","3.8 m -  8.4 m","0"
"(2024 MK)","2024-Jun-29 13:49 ± < 00:01","0.00197","0.00197","9.37","9.22","22.0","110 m -  240 m","3"
"(2024 NK3)","2024-Jul-11 06:20 ± < 00:01","0.00079","0.00079","10.58","10.26","28.7","4.8 m -   11 m","0"
"(2024 OG2)","2024-Jul-27 13:28 ± < 00:01","0.00187","0.00187","10.23","10.09","29.1","4.0 m -  9.0 m","0"
"(2024 PF2)","2024-Jul-28 17:13 ±    00:04","0.00233","0.00232","7.11","6.95","25.7","20 m -   44 m","1"
"(2024 PY)","2024-Aug-04 21:36 ± < 00:01","0.00063","0.00063","8.35","7.83","29.4","3.5 m -  7.7 m","0"
"(2024 PZ3)","2024-Aug-15 01:40 ± < 00:01","0.00185","0.00185","12.19","12.07","25.2","24 m -   54 m","2"
"(2024 QH2)","2024-Aug-29 23:00 ± < 00:01","0.00222","0.00221","18.48","18.41","26.9","11 m -   25 m","1"
"(2024 RR8)","2024-Sep-02 06:56 ±    00:05","0.00252","0.00252","14.56","14.49","28.3","5.7 m -   13 m","0"
"(2024 RP7)","2024-Sep-02 21:33 ± < 00:01","0.00211","0.00211","6.52","6.32","30.3","2.3 m -  5.2 m","0"
"(2024 RZ2)","2024-Sep-04 02:59 ± < 00:01","0.00174","0.00174","7.40","7.19","28.6","5.1 m -   11 m","0"
"(2024 RL3)","2024-Sep-04 17:15 ± < 00:01","0.00027","0.00027","8.08","6.77","29.1","4.0 m -  9.0 m","1"
"(2024 RR3)","2024-Sep-07 07:51 ± < 00:01","0.00240","0.00240","16.62","16.55","27.0","11 m -   24 m","1"
"(2024 RH6)","2024-Sep-07 10:36 ±    00:01","0.00144","0.00143","10.70","10.53","28.6","5.1 m -   11 m","0"
"(2024 RH7)","2024-Sep-08 17:24 ± < 00:01","0.00109","0.00109","13.94","13.76","29.8","2.9 m -  6.4 m","0"
"(2024 RS16)","2024-Sep-09 15:35 ±    00:08","0.00170","0.00169","11.49","11.35","29.2","3.8 m -  8.6 m","0"
"(2024 RX13)","2024-Sep-11 02:38 ± < 00:01","0.00057","0.00057","5.59","4.69","31.1","1.6 m -  3.6 m","0"
"(2024 RC42)","2024-Sep-12 19:32 ± < 00:01","0.00014","0.00014","9.59","7.42","32.4","0.89 m -  2.0 m","0"
"(2024 SD)","2024-Sep-21 10:02 ±    00:02","0.00089","0.00088","13.88","13.67","28.4","5.4 m -   12 m","0"
"(2024 SW)","2024-Sep-22 16:57 ± < 00:01","0.00227","0.00227","9.96","9.84","27.8","7.5 m -   17 m","0"
"(2024 ST)","2024-Sep-23 02:25 ± < 00:01","0.00073","0.00073","11.69","11.37","29.7","3.1 m -  6.9 m","0"
"(2024 SG4)","2024-Sep-26 06:02 ±    00:05","0.00204","0.00202","9.99","9.86","27.4","8.7 m -   19 m","0"
"(2024 SS1)","2024-Sep-26 06:40 ± < 00:01","0.00180","0.00179","12.64","12.52","28.4","5.5 m -   12 m","0"
"(2024 SV2)","2024-Sep-28 17:01 ± < 00:01","0.00033","0.00033","11.53","10.80","28.7","4.9 m -   11 m","1"
"(2024 TA)","2024-Sep-29 04:49 ± < 00:01","0.00248","0.00248","6.02","5.84","28.2","6.0 m -   13 m","0"
"(2024 TG)","2024-Sep-30 10:04 ± < 00:01","0.00217","0.00215","10.76","10.64","28.5","5.2 m -   12 m","0"
"(2024 TT)","2024-Sep-30 15:04 ± < 00:01","0.00097","0.00096","7.45","7.07","27.6","8.1 m -   18 m","1"
"(2024 TU3)","2024-Oct-03 15:02 ± < 00:01","0.00067","0.00067","8.58","8.10","28.1","6.3 m -   14 m","1"
"(2024 TL3)","2024-Oct-04 09:21 ±    00:02","0.00132","0.00131","19.17","19.07","30.3","2.3 m -  5.1 m","0"
"(2024 TS2)","2024-Oct-04 11:06 ± < 00:01","0.00128","0.00128","15.86","15.73","27.0","10 m -   23 m","1"
"(2024 TF)","2024-Oct-04 18:38 ± < 00:01","0.00201","0.00200","5.97","5.75","29.2","3.9 m -  8.6 m","0"
"(2024 TD6)","2024-Oct-05 03:13 ± < 00:01","0.00136","0.00135","3.85","3.30","29.6","3.3 m -  7.3 m","0"
"(2024 TM3)","2024-Oct-05 12:18 ± < 00:01","0.00037","0.00037","16.71","16.27","31.3","1.5 m -  3.3 m","0"
"(2024 TL2)","2024-Oct-06 09:12 ± < 00:01","0.00071","0.00071","9.12","8.70","30.8","1.9 m -  4.2 m","0"
"(2024 TR4)","2024-Oct-07 01:07 ± < 00:01","0.00075","0.00075","15.10","14.86","26.9","11 m -   25 m","2"
"(2024 TQ9)","2024-Oct-07 04:43 ± < 00:01","0.00075","0.00074","7.50","7.01","30.8","1.9 m -  4.2 m","0"
"(2024 TX6)","2024-Oct-07 08:17 ± < 00:01","0.00068","0.00068","10.96","10.60","28.4","5.6 m -   13 m","1"
"(2024 TW2)","2024-Oct-07 11:14 ± < 00:01","0.00192","0.00192","16.94","16.86","28.7","4.9 m -   11 m","0"
"(2024 TK5)","2024-Oct-09 00:01 ± < 00:01","0.00152","0.00151","9.11","8.91","27.7","7.7 m -   17 m","0"
"(2024 TH11)","2024-Oct-10 09:16 ±    00:02","0.00020","0.00020","13.70","12.69","27.2","9.5 m -   21 m","2"
"(2024 TK13)","2024-Oct-10 22:00 ± < 00:01","0.00114","0.00114","8.36","8.08","28.6","5.0 m -   11 m","0"
"(2024 TA12)","2024-Oct-14 07:19 ± < 00:01","0.00206","0.00206","6.01","5.79","29.4","3.4 m -  7.7 m","0"
"(2024 TM20)","2024-Oct-15 03:42 ± < 00:01","0.00081","0.00081","18.19","18.01","27.1","10 m -   23 m","1"
"(2024 TK22)","2024-Oct-15 09:02 ± < 00:01","0.00095","0.00095","10.69","10.42","29.9","2.8 m -  6.3 m","0"
"(2024 UB1)","2024-Oct-18 05:14 ±    00:18","0.00249","0.00248","8.01","7.87","28.4","5.5 m -   12 m","0"
"(2024 UF)","2024-Oct-19 13:33 ± < 00:01","0.00220","0.00219","21.34","21.28","26.3","15 m -   33 m","1"
"(2024 US)","2024-Oct-22 01:07 ± < 00:01","0.00242","0.00242","7.82","7.68","27.9","6.9 m -   15 m","0"
"(2024 UT)","2024-Oct-23 17:23 ± < 00:01","0.00031","0.00031","11.61","10.84","29.9","2.7 m -  6.1 m","0"
"(2024 UY)","2024-Oct-24 21:35 ± < 00:01","0.00197","0.00197","10.63","10.50","29.2","3.9 m -  8.7 m","0"
"(2024 UG21)","2024-Oct-25 12:57 ± < 00:01","0.00107","0.00107","13.61","13.42","27.1","10.0 m -   22 m","1"
"(2024 UN2)","2024-Oct-26 05:59 ± < 00:01","0.00142","0.00142","10.48","10.30","26.2","16 m -   35 m","2"
"(2024 UZ6)","2024-Oct-27 07:24 ±    00:01","0.00012","0.00012","8.14","4.55","31.1","1.6 m -  3.6 m","0"
"(2024 UD8)","2024-Oct-27 14:22 ± < 00:01","0.00171","0.00170","17.97","17.88","28.7","4.8 m -   11 m","0"
"(2024 UV7)","2024-Oct-28 05:36 ± < 00:01","0.00146","0.00146","11.32","11.16","29.2","3.8 m -  8.4 m","0"
"(2024 UQ1)","2024-Oct-28 06:10 ± < 00:01","0.00159","0.00159","6.60","6.35","27.7","7.6 m -   17 m","0"
"(2024 UO4)","2024-Oct-28 07:57 ± < 00:01","0.00046","0.00046","8.36","7.64","30.2","2.4 m -  5.4 m","0"
"(2024 UW7)","2024-Oct-28 18:43 ± < 00:01","0.00085","0.00085","15.79","15.59","30.3","2.3 m -  5.2 m","0"
"(2024 UB11)","2024-Oct-30 08:29 ± < 00:01","0.00041","0.00041","14.82","14.37","29.9","2.7 m -  6.1 m","0"
"(2024 UG9)","2024-Oct-30 12:42 ± < 00:01","0.00006","0.00006","20.30","17.95","32.5","0.82 m -  1.8 m","0"
"(2024 UD11)","2024-Nov-01 10:52 ± < 00:01","0.00143","0.00143","14.43","14.30","29.3","3.6 m -  8.1 m","0"
"(2024 VO)","2024-Nov-04 21:18 ± < 00:01","0.00192","0.00192","3.08","2.59","31.0","1.7 m -  3.7 m","0"
"(2024 VM1)","2024-Nov-06 23:47 ± < 00:01","0.00207","0.00207","8.63","8.48","27.3","9.1 m -   20 m","0"
"(2013 GM3)","2026-Apr-14 16:15 ±    07:56","0.00174","0.00005","7.41","7.20","26.3","15 m -   33 m","1"
"(2021 EO2)","2028-May-19 05:29 ± 2_06:17","0.00250","0.00103","6.10","5.92","27.9","7.1 m -   16 m","0"
"153814 (2001 WN5)","2028-Jun-26 05:23 ± < 00:01","0.00166","0.00166","10.24","10.08","18.3","0.932±0.011 km","5"
"99942 Apophis (2004 MN4)","2029-Apr-13 21:46 ± < 00:01","0.00025","0.00025","7.42","5.84","19.1","0.34±0.04 km","6"
"(2001 AV43)","2029-Nov-11 15:24 ±    00:03","0.00209","0.00209","4.00","3.67","24.6","32 m -   71 m","2"
"(2019 EH1)","2032-Feb-29 23:23 ± 9_08:58","0.00229","0.00012","14.62","14.54","30.1","2.5 m -  5.6 m","0"
"(2008 DB)","2032-Aug-14 14:51 ±    00:02","0.00085","0.00084","7.39","6.96","25.8","18 m -   41 m","2"
"(2022 MK1)","2034-Jul-20 04:30 ±    15:25","0.00242","0.00225","6.63","6.46","24.0","42 m -   93 m","2"
"(2022 SX55)","2035-Sep-17 19:55 ±    03:29","0.00217","0.00001","12.20","12.10","30.2","2.4 m -  5.4 m","0"
"(2017 FU102)","2036-Apr-02 23:31 ±    14:22","0.00086","0.00067","7.65","7.24","28.7","4.8 m -   11 m","0"
"(2023 EB)","2036-Oct-21 13:02 ± 1_09:21","0.00115","0.00110","7.71","7.41","26.2","15 m -   34 m","2"
"(2012 UE34)","2041-Apr-08 02:55 ± < 00:01","0.00073","0.00073","6.12","5.49","23.3","58 m -  130 m","4"
"(2024 TQ9)","2041-Oct-07 10:43 ±    07:28","0.00235","0.00034","7.20","7.04","30.8","1.9 m -  4.2 m","0"
"(2017 KJ32)","2042-May-22 00:41 ± 9_10:39","0.00232","0.00226","2.94","2.52","28.9","4.4 m -  9.9 m","0"
"(2018 GE2)","2042-Oct-30 03:27 ±    01:33","0.00095","0.00073","6.58","6.14","27.0","10 m -   23 m","1"
"(2012 HG2)","2047-Feb-12 22:18 ±    14:22","0.00096","3.0e-7","4.11","3.37","27.0","11 m -   24 m","1"
"(2021 AZ6)","2047-Jul-19 09:31 ± 1_08:23","0.00240","0.00191","12.14","12.05","26.3","14 m -   32 m","1"
"(2016 RD34)","2047-Sep-05 10:33 ±    03:50","0.00068","0.00066","3.02","1.16","27.7","7.7 m -   17 m","1"
"(2022 WO6)","2047-Nov-23 04:53 ± 1_06:38","0.00129","0.00119","7.55","7.27","29.0","4.2 m -  9.3 m","0"
"(2007 UD6)","2048-Oct-18 02:48 ± 2_09:26","0.00057","0.00023","6.74","6.00","28.3","5.8 m -   13 m","1"
"(2021 DA2)","2050-Feb-21 06:52 ± 1_01:17","0.00078","0.00075","7.40","6.92","29.2","3.9 m -  8.7 m","0"
"(2018 WR)","2052-Nov-13 02:23 ± 9_07:14","0.00184","0.00152","6.99","6.78","26.2","15 m -   34 m","1"
"(2015 XA378)","2053-Jun-01 04:39 ± 1_19:26","0.00138","0.00057","18.02","17.92","25.9","18 m -   39 m","2"
"(2021 JE1)","2054-Dec-10 11:24 ±    02:30","0.00073","0.00053","8.59","8.15","26.7","12 m -   27 m","2"
"(2018 NL)","2055-Jun-29 14:31 ±    00:02","0.00078","0.00077","8.69","8.29","25.4","22 m -   49 m","3"
"(2019 TK5)","2056-Apr-26 10:46 ±    00:03","0.00203","0.00202","5.76","5.53","27.5","8.6 m -   19 m","0"
"523809 (2007 TV18)","2058-Sep-22 10:49 ± < 00:01","0.00236","0.00236","10.38","10.27","23.8","46 m -  100 m","2"
"(2023 XJ2)","2059-Dec-03 01:00 ±    00:44","0.00140","0.00128","6.55","6.25","24.3","37 m -   82 m","3"
"(2019 BE5)","2060-Jan-30 10:19 ± < 00:01","0.00254","0.00253","13.62","13.55","25.1","25 m -   57 m","2"
"(2014 GY44)","2062-Mar-30 00:03 ±    00:05","0.00234","0.00230","12.36","12.26","25.4","22 m -   49 m","2"
"(2024 HZ)","2062-Apr-18 02:59 ±    18:53","0.00239","0.00166","7.25","7.10","28.7","4.9 m -   11 m","0"
"(2024 FQ5)","2064-Mar-31 06:46 ± 1_14:10","0.00143","0.00049","7.22","6.96","31.0","1.7 m -  3.8 m","0"
"(2022 SW20)","2064-Sep-22 18:06 ± 1_06:19","0.00231","0.00184","14.62","14.54","26.5","13 m -   30 m","1"
"(2005 WY55)","2065-May-28 01:12 ±    00:03","0.00222","0.00220","18.60","18.54","20.7","190 m -  430 m","4"
"(2008 CE22)","2066-Feb-06 19:58 ± 5_17:40","0.00193","0.00135","8.69","8.53","26.4","14 m -   31 m","1"
"(2024 VK2)","2067-Nov-07 01:54 ±    23:00","0.00121","0.00040","9.02","8.77","26.3","15 m -   33 m","2"
"(2023 MB3)","2070-Jun-19 23:51 ±    01:57","0.00241","0.00029","8.84","8.71","30.0","2.7 m -  5.9 m","0"
"(2018 GN)","2071-Apr-14 05:23 ± 3_19:32","0.00114","0.00075","20.34","20.23","26.2","15 m -   34 m","2"
"(2007 YS56)","2071-Dec-25 21:17 ± 2_17:16","0.00180","0.00130","9.35","9.19","25.7","19 m -   43 m","2"
"(2010 GH7)","2073-Mar-31 20:13 ± 5_13:43","0.00070","0.00057","5.73","5.03","27.4","0.008±0.000 km","1"
"308635 (2005 YU55)","2075-Nov-08 07:24 ±    00:29","0.00136","0.00126","13.79","13.65","21.9","0.4 km","4"
"(2021 VY4)","2077-Nov-12 18:58 ±    11:12","0.00139","0.00057","14.04","13.90","26.4","14 m -   31 m","1"
"(2019 BE5)","2079-Jan-29 17:08 ±    00:36","0.00164","0.00152","13.77","13.66","25.1","25 m -   57 m","2"
"(2020 RD4)","2079-Sep-15 16:19 ± 1_02:41","0.00125","0.00069","10.02","9.80","29.7","3.1 m -  6.8 m","0"
"(2021 US1)","2079-Nov-07 07:35 ± 5_06:59","0.00205","0.00184","3.34","2.92","27.7","7.7 m -   17 m","0"
"(2022 OK)","2082-Jul-19 14:56 ± 2_13:49","0.00213","0.00184","5.27","5.03","28.3","5.8 m -   13 m","0"
"(2024 LG5)","2084-Jun-18 02:10 ± 2_20:03","0.00223","0.00214","8.13","7.98","26.6","13 m -   28 m","1"
"(2021 TE13)","2085-Oct-13 01:45 ± 8_04:06","0.00060","0.00059","9.85","9.39","29.4","3.6 m -  8.0 m","0"
"(2020 UL3)","2085-Nov-13 17:37 ±    00:52","0.00111","0.00111","10.43","10.19","23.2","60 m -  130 m","3"
"(2018 NX)","2086-Jul-05 20:10 ± 4_03:09","0.00179","0.00178","3.70","3.27","27.7","7.7 m -   17 m","0"
"(2022 UL11)","2091-Oct-24 03:38 ± 8_08:22","0.00100","0.00042","9.18","8.88","29.1","3.9 m -  8.8 m","0"
"(2020 KU)","2095-May-24 11:23 ± 9_22:59","0.00103","0.00013","7.32","6.95","28.5","5.2 m -   12 m","0"
"(2010 RF12)","2095-Sep-06 00:06 ±    00:20","0.00035","0.00001","6.44","5.11","28.4","5.5 m -   12 m","1"
"(2015 XX128)","2095-Dec-09 11:12 ± 3_12:11","0.00238","0.00127","3.95","3.66","26.1","16 m -   37 m","1"
"(2013 XY8)","2095-Dec-11 18:21 ±    00:52","0.00229","0.00215","9.33","9.21","25.0","27 m -   59 m","2"
"(2021 AX1)","2098-Jan-12 17:15 ± 7_12:33","0.00159","0.00092","9.37","9.18","27.5","8.3 m -   19 m","1"
"(2021 FT1)","2098-Mar-23 10:17 ± 2_07:17","0.00060","0.00037","19.65","19.42","24.5","33 m -   75 m","3"
"(2011 JA)","2100-Apr-26 07:54 ± < 00:01","0.00139","0.00139","22.84","22.76","21.4","140 m -  310 m","4"
"456938 (2007 YV56)","2101-Jan-02 04:46 ± < 00:01","0.00160","0.00159","19.28","19.19","21.0","170 m -  370 m","4"
"(2023 UR1)","2102-Oct-29 09:09 ±    15:22","0.00236","0.00236","8.15","8.01","24.7","31 m -   69 m","2"
"(2022 GQ5)","2104-Apr-09 09:47 ± 4_14:01","0.00223","0.00201","12.74","12.64","31.7","1.2 m -  2.7 m","0"
"(2017 UJ43)","2112-Nov-08 03:27 ± 7_08:46","0.00116","0.00046","7.21","6.88","27.7","7.7 m -   17 m","1"
"(2024 RW13)","2113-Sep-12 01:30 ± 5_01:29","0.00132","0.00085","22.42","22.33","27.1","10 m -   23 m","1"
"(2023 MX2)","2118-Jun-29 00:02 ± 1_09:38","0.00051","0.00028","5.28","4.17","28.3","5.8 m -   13 m","1"
"(2011 DV)","2120-Apr-25 09:34 ±    00:28","0.00119","0.00095","5.89","5.49","20.7","200 m -  440 m","4"
"(2020 LO)","2121-Jun-05 01:30 ±    17:46","0.00132","0.00131","6.94","6.64","26.8","12 m -   26 m","1"
"(2007 UW1)","2129-Oct-19 03:09 ±    01:30","0.00056","0.00039","5.63","4.72","22.7","77 m -  170 m","4"
"(2022 HM)","2134-Apr-22 07:49 ± 3_16:01","0.00141","0.00050","14.69","14.56","27.6","8.2 m -   18 m","1"
"101955 Bennu (1999 RQ36)","2135-Sep-25 07:49 ±    00:12","0.00136","0.00130","6.29","5.97","20.2","0.48444±0.00030 km","4"
"(2016 SU2)","2139-Sep-27 00:53 ±    06:59","0.00147","0.00062","12.85","12.70","27.6","8.0 m -   18 m","1"
"(2018 YM)","2139-Dec-18 15:22 ± 5_23:04","0.00180","0.00118","22.72","22.65","27.1","10 m -   23 m","1"
"153201 (2000 WO107)","2140-Dec-01 19:50 ± < 00:01","0.00163","0.00162","26.02","25.96","19.3","0.510±0.083 km","4"
"(2017 FO128)","2141-Mar-16 00:37 ±    02:39","0.00246","0.00112","15.24","15.17","22.5","83 m -  190 m","3"
"(2009 DO111)","2146-Mar-23 08:56 ±    00:01","0.00223","0.00222","9.15","9.01","22.9","72 m -  160 m","3"
"(2021 UP)","2147-Oct-19 08:42 ± 1_01:14","0.00112","0.00107","9.73","9.48","25.6","20 m -   45 m","2"
"85640 (1998 OX4)","2148-Jan-22 03:24 ± < 00:01","0.00198","0.00198","12.30","12.19","21.1","160 m -  350 m","4"
"(2019 OV3)","2149-Dec-01 08:26 ±    00:24","0.00252","0.00140","12.45","12.36","24.3","37 m -   84 m","2"
"(2018 PY7)","2155-Aug-05 15:47 ± 5_11:52","0.00078","0.00078","10.25","9.91","26.8","12 m -   26 m","2"
"530520 (2011 LT17)","2156-Dec-16 04:49 ±    00:10","0.00251","0.00247","14.10","14.02","21.9","110 m -  250 m","3"
"(2012 XE133)","2157-Jan-01 07:44 ± < 00:01","0.00178","0.00178","9.92","9.77","23.3","58 m -  130 m","3"
"(2018 VO6)","2157-May-08 11:30 ± < 00:01","0.00257","0.00257","12.43","12.35","24.3","36 m -   81 m","2"
"(2017 HZ4)","2162-Jun-01 10:36 ±    20:48","0.00244","0.00043","6.16","5.98","25.8","18 m -   41 m","1"
"(2011 HO5)","2167-Nov-12 07:03 ±    00:04","0.00156","0.00152","7.52","7.29","24.2","38 m -   85 m","3"
